year,dep,eme_h,eme_m,tctita_h,tctita_m,tctib_h,tctib_m,tctic_h,tctic_m,mctia_h,mctia_m,mctib_h,mctib_m,mctic_h,mctic_m,tcasa_h,tcasa_m,tcasb_h,tcasb_m,tcasc_h,tcasc_m,mcasa_h,mcasa_m,mcasb_h,mcasb_m,mcasc_h,mcasc_m,ay_h,ay_m,tec_h,tec_m
1973,CELing,,,,,,,,,,,,,,,,,,,,,2,1,,,,,2,1,,
1973,CTradLenguas Clas,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,1,,
1973,CE Mayas,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,2,,
1973,BN,,,1,,1,,1,,,,,,,,1,,,,,1,2,,2,2,,1,,,,
1973,IIEc,,,3,1,1,,3,,,,,,,,4,3,3,,3,,,,,,,,8,4,,
1973,IIE,,,,,,,,1,,,,,,,,1,,,1,3,,,,,3,,,,4,
1973,IIF,1,,5,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,1
1973,IIH,1,,,,,,2,1,,,,,,,5,1,,,4,1,,,,,2,,,,,2
1973,IIJ,1,,,1,,,1,,,,,,,,1,,6,1,3,,,,,,,,,,,2
1973,IIS,1,,,,1,,4,,,,,,,,3,4,4,2,5,,1,,,1,,,,7,,
1973,CIMASS,,,6,,1,,1,,1,,,,,,1,2,3,,2,,,,,,,,,,,2
1973,CIMateriales,,,3,,1,,,,2,,,,,,6,,4,,5,,1,,,,,,,,1,
1973,CEN,,,,,1,,,,,,,,,,5,2,2,1,,,1,1,1,,1,,,,1,
1973,Centro de instrumentos,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1973,IA,,,4,,,,5,,,,,,1,,2,1,3,1,1,,,,,1,,,,,3,
1973,Ibio,,,7,1,2,,4,3,,,,,,,7,3,7,1,3,1,,,,1,,3,1,1,1,1
1973,JB,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,3,3
1973,Estación de Investigaciones Marinas El Carmen,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1973,Chamela,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1973,IF,,,5,,12,,8,,,,1,,,,3,,5,1,5,2,2,,1,1,1,,,,,
1973,Igeofísica,,,4,1,,,1,2,,,,1,,,5,1,7,1,6,,1,,,,,,,,,
1973,Igeografía,,,2,,,1,,,,,,,,,2,5,,1,2,4,,,,,,,,,,
1973,Igeología,,,1,,2,,,,1,,1,,,,17,3,3,1,3,2,2,1,,,1,,,,,
1973,IIBIOMÉDICAS,,,8,,7,1,7,,1,,1,,,,3,1,3,3,2,2,1,1,1,2,,,,,,2
1973,IM,,,4,,2,,7,,,,,,,,1,1,,,2,1,,,,,,,,,4,6
1973,IQ,,,1,,2,1,6,,,,,,,,3,,4,,2,1,,,,,,,,,,
1973,CI Arqu,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
1973,FC,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
1973,FCPyS,,,1,,,,,,,,,,,,,1,,,,,2,1,1,,,,,,,
1973,FD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1973,ffyl,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1973,FM ,,,4,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,
1974,BN,,,1,,,,1,,,,,,,,2,,,,,1,1,,2,2,,,,1,,
1974,IIEc,,,4,,1,1,3,,,,,,,,5,3,5,3,3,,,,,,,,4,4,9,2
